NU_ANO,CO_CURSO,NU_IDADE
2021,1214121,7
2021,1137223,8
2021,89380,14
2021,123526,17
2021,123537,18
2021,1348195,18
2021,81328,18
2021,1180789,18
2021,1286800,18
2021,1286800,18
2021,114097,18
2021,71514,18
2021,55542,18
2021,113829,18
2021,123537,18
2021,123539,18
2021,77098,18
2021,1205714,18
2021,1286800,18
2021,86782,18
2021,5000454,18
2021,123537,18
2021,123537,18
2021,1001938,18
2021,97346,18
2021,71514,18
2021,1204842,18
2021,1265877,18
2021,1286800,18
2021,1497553,18
2021,113829,18
2021,75288,18
2021,1131979,18
2021,123526,18
2021,52007,18
2021,1160946,18
2021,1155933,18
2021,1258848,18
2021,1497553,18
2021,1214120,18
2021,1131979,18
2021,5001328,18
2021,1454405,18
2021,110172,18
2021,52007,18
2021,1204643,18
2021,97346,18
2021,1180796,18
2021,52007,18
2021,1155933,18
2021,65955,18
2021,71514,18
2021,5000454,18
2021,1001938,18
2021,76851,18
2021,1001938,18
2021,86782,18
2021,1131979,18
2021,1205876,18
2021,1388165,18
2021,123541,18
2021,1258848,18
2021,5000457,18
2021,1257511,18
2021,1204643,18
2021,1279732,18
2021,76937,18
2021,5000008,18
2021,1204643,18
2021,1258848,18
2021,95215,18
2021,1106261,18
2021,1001938,18
2021,123523,18
2021,1258844,18
2021,75288,18
2021,77134,18
2021,123537,18
2021,1321321,18
2021,1382777,18
2021,1131979,18
2021,4092,18
2021,1382607,18
2021,1382607,18
2021,1286800,18
2021,1286800,18
2021,1286800,18
2021,1137223,18
2021,1322633,18
2021,21892,18
2021,1452642,18
2021,1332807,18
2021,1332807,18
2021,7510,18
2021,55542,18
2021,1134850,18
2021,1315315,18
2021,100305,18
2021,1285865,18
2021,1485428,19
2021,76937,19
2021,114178,19
2021,17266,19
2021,123541,19
2021,1286800,19
2021,123530,19
2021,1155933,19
2021,123526,19
2021,1180605,19
2021,52007,19
2021,1348195,19
2021,1265877,19
2021,123541,19
2021,89380,19
2021,1161613,19
2021,113829,19
2021,71514,19
2021,1258844,19
2021,52007,19
2021,1119473,19
2021,1286800,19
2021,58360,19
2021,1402587,19
2021,1180799,19
2021,1155933,19
2021,71514,19
2021,123523,19
2021,114178,19
2021,1402587,19
2021,59993,19
2021,48895,19
2021,86782,19
2021,123539,19
2021,1427624,19
2021,97346,19
2021,58360,19
2021,1258538,19
2021,123541,19
2021,52007,19
2021,123526,19
2021,5000448,19
2021,1180799,19
2021,97939,19
2021,1258538,19
2021,113829,19
2021,52007,19
2021,1259052,19
2021,114097,19
2021,52007,19
2021,123526,19
2021,76951,19
2021,1205876,19
2021,1286800,19
2021,1166010,19
2021,1286800,19
2021,5001328,19
2021,100305,19
2021,100305,19
2021,1210192,19
2021,113829,19
2021,113829,19
2021,123537,19
2021,71514,19
2021,47798,19
2021,1156021,19
2021,123549,19
2021,1388165,19
2021,1194058,19
2021,5000448,19
2021,1155933,19
2021,123537,19
2021,97346,19
2021,123523,19
2021,5000448,19
2021,89380,19
2021,123549,19
2021,1131979,19
2021,1485386,19
2021,1180799,19
2021,1286800,19
2021,123530,19
