NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_ANO;NT_GER;NT_FG;NT_CE_D1;NT_CE_D2;NT_CE_D3;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I04;QE_I05;QE_I08;QE_I10;QE_I11;QE_I14;QE_I15;QE_I23;QE_I25;QE_I26
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;A;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;B;A;A;A;A;A;A;A;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;A;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;B;C;A;A;A;A;A;B;B;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;B;C;A;A;A;A;A;B;C;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;C;D;B;A;A;A;A;B;G;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;D;C;D;B;B;A;A;B;B;G;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;B;D;D;E;B;C;A;A;D;B;H;A
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;19;B;D;E;E;B;D;A;A;D;B;H;F
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;B;D;E;E;B;D;A;A;D;C;H;F
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;C;D;E;E;C;D;A;A;D;C;H;F
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;C;D;E;E;F;E;A;A;E;C;H;F
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;E;D;F;F;F;E;A;A;E;D;H;I
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;19;;;;;;;;;;;;
2021;6;1;1;10028;2001;1;5103403;51;5;2021;0;0;0;0;0;F;20;;;;;;;;;;;;
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;A;A;A;A;A;A;A;A;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;A;A;B;A;A;A;A;A;A;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;18;A;A;B;B;B;A;A;A;A;A;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;A;B;B;B;A;A;A;A;B;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;B;B;B;B;A;A;A;A;B;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;B;B;C;B;A;A;A;A;B;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;19;A;B;B;C;B;A;A;A;A;B;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;B;D;B;B;A;A;A;B;A;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;B;C;D;B;B;A;A;A;B;B;A
2021;19;1;1;10028;3502;1;5103403;51;5;2021;0;0;0;0;0;F;20;A;C;C;D;B;C;A;A;A;B;B;A
